"Source:","C:\Sulari\kicad\IoT_sulari_sensorboard\IoT_sulari_sensorboard.kicad_sch"
"Date:","5/9/2023 10:09:35 AM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","8"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Digikey"
"1","2","C1, C2","100n","Device:C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","587-1245-1-ND"
"2","1","J1","20021121-00010C4LF","20021121-00010C4LF:20021121-00010C4LF","20021121-00010C4LF:20021121-00010C4LF","","","","609-3695-1-ND"
"3","3","R1, R2, R3","5k","Device:R","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","","","13-RT0603BRE075KLCT-ND"
"4","1","U1","SHT40-AD1B-R3","SHT40-AD1B-R2:SHT40-AD1B-R2","SHT40-AD1B-R3:SHT40-AD1B-R2","","","","1649-SHT40-AD1B-R3CT-ND"
"5","1","U2","TMP117MAIDRVT","TMP117MAIDRVT:TMP117MAIDRVT","TMP117MAIDRVT:TMP117MAIDRVT","","","","296-52215-1-ND"
