Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.000000,-94.000000,180.000000,top
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.100000,-94.000000,0.000000,top
"J1","20021121-00010C4LF","20021121-00010C4LF",138.078500,-86.000000,0.000000,top
"R1","5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.250000,-87.750000,90.000000,top
"R2","5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.900000,-87.750000,90.000000,top
"R3","5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.550000,-91.150000,0.000000,top
"U1","SHT40-AD1B-R3","SHT40-AD1B-R2",135.000000,-97.100000,90.000000,top
"U2","TMP117MAIDRVT","TMP117MAIDRVT",141.100000,-97.100000,90.000000,top
